I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3
I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3
I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,3
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3
I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3
I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4
I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
I,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4
I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4
I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4
I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4
I,0.205,0.15,0.065,0.04,0.02,0.011,0.013,4
I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4
I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4
I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
I,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4
I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
